facet_count	stratum	n	positives_sys_gt_1	model	posterior_mean_p_sys_gt_1	posterior_predictive_at_least_one_10k	posterior_predictive_at_least_one_100k	posterior_predictive_at_least_one_1m	support_allows_exact_zero	exact_zero_support_predictive_1m	max_sys	q99_sys
12	generic:F12	512	0	skeptical_beta_0.01_10000	9.5129285455398159e-07	0.0066628599085398754	0.023251902257713675	0.044630800266474147	yes	0	0.82476627462416685	0.74956011359201646
5	generic:F5	512	0	jeffreys_beta_0.5_0.5	0.00097465886939571145	0.77925383415900307	0.92861096491674688	0.97737285268582597	yes	0	0.71441036389872803	0.55280467865360805
5	generic:F5	512	0	uniform_beta_1_1	0.0019455252918287938	0.95120327213941691	0.99489618258279999	0.99948726303516955	yes	0	0.71441036389872803	0.55280467865360805
5	generic:F5	512	0	pessimistic_beta_0.1_1000	6.6133192249189873e-05	0.18373932853218489	0.34341537835725922	0.47775215436195806	yes	0	0.71441036389872803	0.55280467865360805
5	generic:F5	512	0	skeptical_beta_0.01_10000	9.5129285455398159e-07	0.0066628599085398754	0.023251902257713675	0.044630800266474147	yes	0	0.71441036389872803	0.55280467865360805
6	generic:F6	512	0	jeffreys_beta_0.5_0.5	0.00097465886939571145	0.77925383415900307	0.92861096491674688	0.97737285268582597	yes	0	0.69085508873510593	0.6053907199166203
6	generic:F6	512	0	uniform_beta_1_1	0.0019455252918287938	0.95120327213941691	0.99489618258279999	0.99948726303516955	yes	0	0.69085508873510593	0.6053907199166203
6	generic:F6	512	0	pessimistic_beta_0.1_1000	6.6133192249189873e-05	0.18373932853218489	0.34341537835725922	0.47775215436195806	yes	0	0.69085508873510593	0.6053907199166203
6	generic:F6	512	0	skeptical_beta_0.01_10000	9.5129285455398159e-07	0.0066628599085398754	0.023251902257713675	0.044630800266474147	yes	0	0.69085508873510593	0.6053907199166203
7	generic:F7	512	0	jeffreys_beta_0.5_0.5	0.00097465886939571145	0.77925383415900307	0.92861096491674688	0.97737285268582597	yes	0	0.74585223929034294	0.6732769603218991
7	generic:F7	512	0	uniform_beta_1_1	0.0019455252918287938	0.95120327213941691	0.99489618258279999	0.99948726303516955	yes	0	0.74585223929034294	0.6732769603218991
7	generic:F7	512	0	pessimistic_beta_0.1_1000	6.6133192249189873e-05	0.18373932853218489	0.34341537835725922	0.47775215436195806	yes	0	0.74585223929034294	0.6732769603218991
7	generic:F7	512	0	skeptical_beta_0.01_10000	9.5129285455398159e-07	0.0066628599085398754	0.023251902257713675	0.044630800266474147	yes	0	0.74585223929034294	0.6732769603218991
8	generic:F8	512	0	jeffreys_beta_0.5_0.5	0.00097465886939571145	0.77925383415900307	0.92861096491674688	0.97737285268582597	yes	0	0.74485325091685728	0.68600078552955335
8	generic:F8	512	0	uniform_beta_1_1	0.0019455252918287938	0.95120327213941691	0.99489618258279999	0.99948726303516955	yes	0	0.74485325091685728	0.68600078552955335
8	generic:F8	512	0	pessimistic_beta_0.1_1000	6.6133192249189873e-05	0.18373932853218489	0.34341537835725922	0.47775215436195806	yes	0	0.74485325091685728	0.68600078552955335
8	generic:F8	512	0	skeptical_beta_0.01_10000	9.5129285455398159e-07	0.0066628599085398754	0.023251902257713675	0.044630800266474147	yes	0	0.74485325091685728	0.68600078552955335
9	generic:F9	512	0	jeffreys_beta_0.5_0.5	0.00097465886939571145	0.77925383415900307	0.92861096491674688	0.97737285268582597	yes	0	0.78113533148554726	0.67343862674060839
9	generic:F9	512	0	uniform_beta_1_1	0.0019455252918287938	0.95120327213941691	0.99489618258279999	0.99948726303516955	yes	0	0.78113533148554726	0.67343862674060839
9	generic:F9	512	0	pessimistic_beta_0.1_1000	6.6133192249189873e-05	0.18373932853218489	0.34341537835725922	0.47775215436195806	yes	0	0.78113533148554726	0.67343862674060839
9	generic:F9	512	0	skeptical_beta_0.01_10000	9.5129285455398159e-07	0.0066628599085398754	0.023251902257713675	0.044630800266474147	yes	0	0.78113533148554726	0.67343862674060839
