accepted_rows	attempts_total_accepted_prefix	attempts_total_with_exhaustion	censored	comparison_eligible	exhausted_rows	first_hit_accepted_index	first_hit_attempt	generator_ms	population	region	rejections_in_accepted_prefix	rejections_with_exhaustion	requested_rows	seed	seed_role	side_count	support_overlap	validation_ms_estimate
24	73	24	True	True	0	NA	NA	0.07970200000000002	current-baseline[delta=0.2]	isoperimetric_ratio_low	49	0	24	20260718	confirmation-2	3	0.9999334266092706	21.172738678893822
17	937	913	True	True	7	NA	NA	1.6511010000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_low	920	896	24	20260718	confirmation-2	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.024629000000000005	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_low	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.019077	repulsive-gap[alpha=16]	isoperimetric_ratio_low	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	82	24	True	True	0	NA	NA	0.029831	repulsive-gap[alpha=1]	isoperimetric_ratio_low	58	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	30	24	True	True	0	NA	NA	0.023443000000000002	repulsive-gap[alpha=4]	isoperimetric_ratio_low	6	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	False	True	0	1	1	0.010971	repulsive-gap[regular]	isoperimetric_ratio_low	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	96	24	False	True	0	11	44	0.07508	current-baseline[delta=0.2]	isoperimetric_ratio_high	72	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
17	854	913	True	True	7	NA	NA	1.5733940000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_high	837	896	24	20260717	confirmation-1	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.03771100000000001	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_high	0	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	26	24	False	True	0	17	19	0.020046000000000005	repulsive-gap[alpha=16]	isoperimetric_ratio_high	2	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	71	24	False	True	0	2	3	0.043561	repulsive-gap[alpha=1]	isoperimetric_ratio_high	47	0	24	20260717	confirmation-1	3	0.9969046320520226	21.172738678893822
24	29	24	False	True	0	21	26	0.06114800000000001	repulsive-gap[alpha=4]	isoperimetric_ratio_high	5	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.018194000000000002	repulsive-gap[regular]	isoperimetric_ratio_high	0	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	73	24	False	True	0	5	12	0.07970200000000002	current-baseline[delta=0.2]	isoperimetric_ratio_high	49	0	24	20260718	confirmation-2	3	0.9999334266092706	21.172738678893822
