classification	confirmation_seed_count	confirmation_seed_flags	confirmation_seeds_with_hit	interpretation	population	region	side_count
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	covariance_anisotropy_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	covariance_anisotropy_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	covariance_anisotropy_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	current-baseline[delta=0.2]	isoperimetric_ratio_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=16]	isoperimetric_ratio_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=1]	isoperimetric_ratio_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	isoperimetric_ratio_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	isoperimetric_ratio_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	isoperimetric_ratio_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	current-baseline[delta=0.2]	isoperimetric_ratio_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=16]	isoperimetric_ratio_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=1]	isoperimetric_ratio_high	6
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	isoperimetric_ratio_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	isoperimetric_ratio_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	isoperimetric_ratio_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	current-baseline[delta=0.2]	support_roughness_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	regular-mutation[steps=4,scale=0.03]	support_roughness_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=16]	support_roughness_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=1]	support_roughness_low	6
partial-one-confirmation-seed	2	"{""20260717"": false, ""20260718"": true}"	1	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	support_roughness_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	support_roughness_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	support_roughness_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	current-baseline[delta=0.2]	support_roughness_high	6
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	regular-mutation[steps=4,scale=0.03]	support_roughness_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=16]	support_roughness_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=1]	support_roughness_high	6
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	support_roughness_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	support_roughness_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	support_roughness_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	current-baseline[delta=0.2]	central_symmetry_residual_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	primal-hull-uniform-disk[points=n+4,origin=interior]	central_symmetry_residual_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	regular-mutation[steps=4,scale=0.03]	central_symmetry_residual_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=16]	central_symmetry_residual_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=1]	central_symmetry_residual_low	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	central_symmetry_residual_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	central_symmetry_residual_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	central_symmetry_residual_low	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	current-baseline[delta=0.2]	central_symmetry_residual_high	6
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	primal-hull-uniform-disk[points=n+4,origin=interior]	central_symmetry_residual_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	regular-mutation[steps=4,scale=0.03]	central_symmetry_residual_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=16]	central_symmetry_residual_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=1]	central_symmetry_residual_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	central_symmetry_residual_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	central_symmetry_residual_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	central_symmetry_residual_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	current-baseline[delta=0.2]	support_novelty_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	primal-hull-uniform-disk[points=n+4,origin=interior]	support_novelty_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	regular-mutation[steps=4,scale=0.03]	support_novelty_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=16]	support_novelty_high	6
replicates-both-confirmation-seeds	2	"{""20260717"": true, ""20260718"": true}"	2	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=1]	support_novelty_high	6
partial-one-confirmation-seed	2	"{""20260717"": true, ""20260718"": false}"	1	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[alpha=4]	support_novelty_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	repulsive-gap[regular]	support_novelty_high	6
pilot-artifact-no-confirmation-hit	2	"{""20260717"": false, ""20260718"": false}"	0	stratum-level pilot region replication label; no-hit is right-censored at 24 accepted rows	zonogon[lengths=uniform(0.5,1.5)]	support_novelty_high	6
